001  00116 |Loss: 0.920 | Acc: 84.483% 
001  00117 |Loss: 0.912 | Acc: 84.615% 
001  00118 |Loss: 0.906 | Acc: 84.746% 
001  00119 |Loss: 0.917 | Acc: 84.034% 
001  00120 |Loss: 0.919 | Acc: 83.333% 
001  00121 |Loss: 0.912 | Acc: 83.471% 
001  00001 |Loss: 0.586 | Acc: 100.000% 
001  00001 |Loss: 1.127 | Acc: 0.000% 
001  00501 |Loss: 0.494 | Acc: 86.627% 
001  01001 |Loss: 0.434 | Acc: 87.512% 
001  01501 |Loss: 0.367 | Acc: 89.074% 
001  00001 |Loss: 0.638 | Acc: 87.500% 
001  00001 |Loss: 0.721 | Acc: 25.000% 
001  00001 |Loss: 0.728 | Acc: 50.000% 
001  00001 |Loss: 0.196 | Acc: 100.000% 
001  00001 |Loss: 0.235 | Acc: 100.000% 
001  00001 |Loss: 1.670 | Acc: 0.000% 
001  00001 |Loss: 0.863 | Acc: 0.000% 
001  00001 |Loss: 1.541 | Acc: 0.000% 
001  00001 |Loss: 0.612 | Acc: 100.000% 
002  00003 |Loss: 0.413 | Acc: 50.000% 
